,Hotels,Ratings,Price,Link,Stars,Descriptions
0,Room Mate Gerard,"8,8",€ 546,https://www.booking.com/hotel/es/room-mate-gerard.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=224211802_98757563_0_2_0&highlighted_blocks=224211802_98757563_0_2_0&matching_block_id=224211802_98757563_0_2_0&sr_pri_blocks=224211802_98757563_0_2_0__54610&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"El Room Mate Gerard en Barcelona ofrece alojamiento con piscina exterior de temporada y centro de fitness.

Cuenta con terraza. Su ubicación, en el distrito del Eixample, hace que esté cerca de atracciones como el Teatro Tívoli y a 700 metros de la calle Portal de l'Angel.

Todas las habitaciones del hotel ofrecen una decoración sencilla pero elegante. Están equipadas con armario, TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Todos los alojamientos tienen baño privado con ducha y artículos de aseo gratuitos.

Se sirve un desayuno buffet a diario.

El personal de la recepción 24 horas habla inglés y español y puede ofrecer información durante la estancia. Otras instalaciones incluyen WiFi portátil.

La Plaza de Cataluña está a 9 minutos a pie del alojamiento. A 13 km se halla el aeropuerto de Barcelona-El Prat."
1,The Barcelona EDITION,"8,8",€ 1.285,https://www.booking.com/hotel/es/the-barcelona-edition.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=361366003_118726795_0_2_0&highlighted_blocks=361366003_118726795_0_2_0&matching_block_id=361366003_118726795_0_2_0&sr_pri_blocks=361366003_118726795_0_2_0__128510&nad_id=b805d5f1-ad88-40b0-bb1a-311e91016668_0&nad_cpc=0.66&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlB5UlVqV1o1YjJKVy9iU0pEa0U0TGh3SkJvWWYvTlNGL2JGN0owckZKaER1VGZyTExTNXkrYjM1U3JhbWRtM1lRTnpWVGJwN2JpK3BuNFZoMEVQY0VkTm85VnNURWYzOERXRmtxMmxYVDdXcWJBblZzOERYdlVrR01LMEFmekRqRGNkblRHcFpHYlFKWDBKYnA5blQ5ZmRKK0NwclRUUi9wd3VzdEFJY2hRVW5nWFV6ZnhpOEpqOWlZcjBtSHRGNlNZdXRkSURYTHdYMkdLMHdneWYzeWxVOTRxTUFwR0gwODZpMy9ZVlFudDlxRTRoRURsTjV5ZVNUdWZoTHVwUjNlQnl0enhHM1ZLRUs1Z2tuYXRoV203L3hTczdjblF1MThTalZtYXlwU1ExUEJmZDRzUHltQTFHMkUzUE5aanptZzRYT0w5b1dKd1I4U3JtT3JrTEJRSjBqQUcybFpjMWF1a25tQmJwdWQ4T1BQZUNMZWg5ZlkvbktxWDFHSFlSTlpFT0FXb0N6Z3RYQkpPY1RnYkhqeklaNkpZcnZlRXJFOVBjREszb2E5bWVmWjNLbW05bVlyOStoVytXZmU4WGlmVlczNEVsSERKbzg0MjNtYldEZk83b2Y2YndZdHF4aXJVY0xvSFJuVENNaUxkdTJlWmRqeWJWbmRXa2dQa2lxYVFFVjdCOW9HWktaMnRPVkRSUHpTanpHeTZDeTJXZDFjOHJudFpEakQ4WEk2K0RIVnNtK0Q0TlllNWhwbnNnZWJQejdPVE82am8yLzdJTHpMYnhZR1JRRk1yYys4S2drNmNmQUI4WkdDMFBjNCtLWmZVekRzMWx3Q09TdFAybTdFS01Cb00xMWxtUFhpZ2R3dlBKSFF5U3pDdllzZXpNcEJ3ZUhDakdCUkhzYmdWTS9idVhENFg4WjVMNzR3bkx0Z1Z0aEdIemNqakM2eXYrem1uL2tPcGtoeE8wWFpELzFDb0hxcHdLMEI3bmZBUjBXeXI0VzdwQUVnV2k5MG5KbkZkWnd4M0hMOVpNQzkxVG1BR3J0K1dDa0pFWTlrWHdYTXg2a3FOdlVzQ0g5YmtnUkdFVkp5aDJnVEFNc09KTGVsNXVkWWp4Vjd0VGNrWWtNV2Ztbk5vWlY0SUtoNFk3YWx5ZFM3L205RmU5RkVzWmdFZ2cyVmR5K1dZbUFQRmo0aWo0SlpBYTBldHpQSW1RbGhmS2V3aHJ0SEdzaGZ1YWNnV3lFb1lHWnpGS3dKVXdxWFRPbmNKSitYWGJ5aVhSTnhCNUc1RjFvVjFZV0tncnc5QWN6aEFUZ2ZRa2drSlRyMkxIOE5uRGJ5N2svUVAxMEpMZDd2V3hsa1JUQkFLRlVnRXRmSERvUFFDeTdjSFZBWGgwME1zRkZTNnYwUWxKV1doSWVEcTltTERRR0N6UWdmMlNSNEFHVG9PL2ZKcjRvMllETGVLY2pNT1ZNVHpURm9TcFk2MURPb1RJbUJ0cHNFblVyQVBmc2NZME1acWdackRqOEM0NURkcGNUbklnUEtHa1BFanQ0MkplZDBrNmlqUVBGelk3OHhsZkkwdUVpSE5xSmR6U1V6TDQ1aVJxeE55UHorWEZvSWJWL1JBOGdLbHFzUlU3TFVhOFV0WkJFRkhKU0k3L0NKd292SEVuRVpqVTNFS0lpRUJNbEN6RnJpWGlrNS9BNnR1bmV5THJLRUxTVi9Zc1d5VzVxK0FQcUpJY0c4N0J3T01RcEhFRFE0cGtTMjk2SjliSVQwZFdmRmpBM3FxN3ZyOE5KMmxOT2hPTCsvcWhjN1kwb25YcFUwLzI5VUZ6c1Ztd3NTZEkwZnBQektQSkZZMHRoWi9SclF5WVRXWkVOMDFMamNnei9qSmlWRXJIU3duUHdNVExwc3V0dW5pRmJFdkVUWGZVek9ZRS9rb25OMlNNZU1UM2dWdlVHSFYxbTJwbE9tMXk0WDdwcldrM1hiVHhScXRYZmx5WjJXelRWNldKZU12MHRFNmJKN3BzVUJEVVBZTGYrTHdOdHZmNmNwT1RvS3hpZUZZaUhGTzZOL1labUJ5eDdSZlhvOVBDS1FWdjR2QVZuOUUxZjFMdmp4NE83M3M4dWJkZ2NUYk81QlZTeklEVi94cHlyOU80S01FLzM2bkFGa3FaU3hOQjk5Mk12OTI5VVYzeEdVN0lRUlhPeHZoT1dFWTZmUXp2M3I3MGZrYUJYNWMvb0t6MjhqeGdXL1JHRzZRekZ3RGlYVmFuU0pwdE1RUXpiMFdmRFNmdzlIVUJvcEY1cWFxdENwQ3NmM25KZjFzRXlFQk1tdEM4Z0VCSTAvYnViRFhmL0dnamdoUE4vUCswbzBZUjZOdVdlVFVZTnVsTWhOSXJlNURBSU81aEhoMWFyUEJZOVZHWVViNGQ5NWhLMEVlSFRUZEthVko1emR1cXN4Y3lBTmtUVzRrMm5xUEI3bFpiaGJJNnBBbXRueDhEUDVSV1BLM2laeStvbzRSOVFMTG1nSkZmYlFnOGwxbm40eE41bHdZQXh6TmRhTXNlam5xV1laTDZ0ZG51N053bUdjRnpaMzN5eHZWd3ZFWU5keHJ5MGxKaEorVXp6TFJHVjQwWTUvQThzVWhjeXpVaTNhakZJVzdiRDdxMnNtRW1McTNjU3BQVFFyejBXMnE4SXVsM1YvcFRRRTA0dnl2akNPMVZOVXA5anVOT2wydXVpUHA3ejJVb0huenlGM3dYQi9sT3ZERzFGMWo1dVpRcThzQzg4VDV2VTc4aDNFekZwanhDc3JBNnVydmJKWmVvd05GVzJCZjBjZFdzMkZNbnZFamNUZXZic0NMeE1zUW5pRHJvR1RRMDVHQWRqa2FnN3JmMUIxL3UxNlIwcHBqTmw0KzRsTmlTQndWVEJIaTNmSExGaDFwb0QwM0dVQVlEY3R5MzR3ejFlMElxaGFLMndjRWFXZndlaTArU3B0VjUvTy9IeVpSQUpkejVjTkVoaHU3ZWFielhMa0k3V1E0dmdXaFNRcUk1Q1FNdXBuZ0pjYmVPY2lzd1hSTlpBT056eGhOUmZmaWhlNDZza3lOTnFWNXNCdGozNEdYQStKNGhScGxLUDY4V05JVTRCQUswWTE1Y1RSTmJ4LzE4M0YrNEJZdnpGN25LcU1ieTlsak1sc2FVRmpGWU9jbUFSQTNWWkp5MTB0ajlBelorSzZ6NEluMmIwNWdSKzQ4cllyeGt2U29tOVRWWlFTZmRPVHY2aEFZT2d6c0VOTzdEdmd6N3BSbE9iVUtOMiJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5,"El The Barcelona EDITION se encuentra en Barcelona y dispone de restaurante, piscina al aire libre, centro de fitness y bar. Este hotel de 5 estrellas ofrece habitaciones equipadas con aire acondicionado y WiFi gratuita. También cuenta con terraza, recepción las 24 horas, servicio de habitaciones y servicio de cambio de divisa.

Todas las habitaciones del The Barcelona EDITION incluyen zona de estar, escritorio, TV de pantalla plana y baño privado.

El alojamiento sirve un desayuno a la carta diario.

Además, el The Barcelona EDITION cuenta con mesa de billar.

En las inmediaciones hay varios lugares de interés, como la Barceloneta, el barrio de Somorrostro y la playa de Sant Miquel. Asimismo, el The Barcelona EDITION se halla a 17 km del aeropuerto de Barcelona-El Prat."
2,Catalonia Sagrada Familia,"8,2",€ 337,https://www.booking.com/hotel/es/cataloniaaragon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__33652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3,"El Catalonia Sagrada Familia se halla a 15 minutos a pie de la Sagrada Familia de Gaudí y a solo 300 metros de la estación de tren y metro del Clot. Cuenta con restaurante, gimnasio y piscina al aire libre de temporada.

El Catalonia Sagrada Familia presenta una bella decoración tradicional. Las habitaciones incluyen escritorio, nevera pequeña con agua gratuita y caja fuerte. Hay WiFi gratuita.
Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El restaurante sirve un desayuno buffet, además de varios platos de la cocina catalana y mediterránea. También hay un bar y una cafetería que sirve bebidas y aperitivos todo el día.

El Catalonia Sagrada Familia presta servicio de alquiler de coches. El personal de la recepción 24 horas proporciona información turística sobre Barcelona. El hotel está a 200 metros de la Torre Agbar.

El centro de la ciudad queda a 4 paradas desde la estación de metro del Clot, donde también para el tren que lleva al aeropuerto."
3,Catalonia Diagonal Centro,"8,4",€ 400,https://www.booking.com/hotel/es/catalonia-diagonal-centro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9058108_194625034_0_2_0&highlighted_blocks=9058108_194625034_0_2_0&matching_block_id=9058108_194625034_0_2_0&sr_pri_blocks=9058108_194625034_0_2_0__39960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"El Catalonia Diagonal Centro se encuentra en pleno centro del barrio barcelonés del Eixample, a 300 metros de la estación de metro Diagonal. Cuenta con piscina de temporada al aire libre y WiFi gratuita en todas las instalaciones.

El Catalonia Diagonal Centro ofrece alojamiento cómodo y moderno cerca de los lugares más famosos de Barcelona.

Se halla a 300 metros de La Pedrera, en la avenida Passeig de Gràcia, una de las creaciones más famosas de Gaudí. Está cerca de los edificios modernistas, la plaza Catalunya y Las Ramblas.

Las elegantes habitaciones incluyen muebles modernos de madera y baño de mármol. Disponen de TV vía satélite y WiFi gratuita.

El hotel está a unos pasos del barrio de Gràcia, con sus tiendas bohemias, sus plazas arboladas y su gran número de bares y restaurantes. En las inmediaciones hay varias paradas de metro y autobús que permiten acceder fácilmente al resto de la ciudad. Las habitaciones incluyen TV inteligente con Chromecast."
4,Hotel Cantón,"8,3",€ 310,https://www.booking.com/hotel/es/canton-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=27373206_348629260_0_2_0&highlighted_blocks=27373206_348629260_0_2_0&matching_block_id=27373206_348629260_0_2_0&sr_pri_blocks=27373206_348629260_0_2_0__30992&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,1,"El Hotel Cantón se encuentra en el centro de Barcelona, a menos de 300 metros de Las Ramblas y del Puerto Viejo. Ofrece recepción las 24 horas y habitaciones con TV vía satélite y WiFi gratuita en todas las instalaciones.

Las habitaciones del Cantón presentan una decoración luminosa y disponen de baño privado, nevera, aire acondicionado y calefacción.

El Cantón sirve un desayuno a diario y alberga una máquina expendedora de bebidas calientes y una sala con TV y ordenador.

El Cantón proporciona mostrador de información turística y está bien comunicado con muchos lugares de interés turístico de Barcelona. Se halla a poca distancia a pie de diversos bares y restaurantes y a menos de 5 minutos a pie de la Plaza Real.

La estación de metro de Drassanes se encuentra a menos de 500 metros del Cantón, mientras que la estación de tren de Sants está a 5 paradas."
5,Yomo Hostal BCN Port,"7,8",€ 288,https://www.booking.com/hotel/es/hostal-bcn-port.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=17311119_88197053_0_2_0&highlighted_blocks=17311119_88197053_0_2_0&matching_block_id=17311119_88197053_0_2_0&sr_pri_blocks=17311119_88197053_0_2_0__28769&from=searchresults#hotelTmpl,2,"Este establecimiento está situado junto al puerto de Barcelona y ofrece conexión Wi-Fi gratuita. El Yomo Hostal BCN Port está a solo 100 metros de Las Ramblas y a 400 metros del Barrio Gótico.

La estación de metro Paral•lel está a pocos pasos. Ofrece acceso directo a la plaza Catalunya, la plaza Espanya y la Sagrada Familia. El funicular a Montjuic también sale de aquí.

El establecimiento se encuentra frente a las terminales de cruceros, a 10 minutos de la playa de Barcelona. Hay muchos autobuses y carriles para bicicletas en las inmediaciones.

Todas las habitaciones del Yomo Hostal BCN Port tienen TV, calefacción y aire acondicionado. Las habitaciones estándar disponen de baño privado y las habitaciones económicas tienen baño compartido.

Hay habitaciones familiares y habitaciones adaptadas para personas de movilidad reducida. Se proporciona servicio de limpieza diario."
6,Catalonia Gracia,"8,5",€ 410,https://www.booking.com/hotel/es/cataloniacorcega.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9058305_194613233_0_2_0&highlighted_blocks=9058305_194613233_0_2_0&matching_block_id=9058305_194613233_0_2_0&sr_pri_blocks=9058305_194613233_0_2_0__40960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"Este hotel se encuentra junto a la avenida Diagonal y al Paseo de Gracia, una zona idónea para ir de compras. También está cerca de la plaza Cataluña y del histórico Barrio Gótico. Ofrece WiFi gratuita.

El Hotel Catalonia Gracia se halla en plena ruta modernista y está rodeado de algunas de las obras arquitectónicas más famosas de Barcelona, como los edificios diseñados por Domènech i Montaner y Gaudí, entre ellos La Pedrera.

El restaurante sirve desayuno buffet. También hay servicio de habitaciones.

El Hotel Catalonia Gracia está ubicado a poca distancia a pie de numerosos lugares de interés de la cosmopolita ciudad de Barcelona. El hotel ofrece una excelente relación calidad precio y está muy bien comunicado en transporte público con otros puntos de la ciudad y con los alrededores. Hay instalaciones para reuniones y salas de conferencias donde se pueden organizar banquetes y eventos corporativos."
7,Hotel Lleó,"8,2",€ 425,https://www.booking.com/hotel/es/lleo.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9116202_275786763_0_2_0&highlighted_blocks=9116202_275786763_0_2_0&matching_block_id=9116202_275786763_0_2_0&sr_pri_blocks=9116202_275786763_0_2_0__42512&from=searchresults#hotelTmpl,3,"El Hotel Lleó se encuentra junto a la plaza de Catalunya y las famosas Ramblas de Barcelona. Ofrece una pequeña piscina en la azotea con solárium y tumbonas, WiFi gratuita y habitaciones con TV de pantalla plana.

El Hotel Lleó presenta una decoración elegante con suelo pulido, elementos de cristal y una atractiva iluminación en todas sus instalaciones. Dispone de habitaciones amplias con aire acondicionado, nevera y TV vía satélite.

El restaurante elabora una amplia variedad de cocina mediterránea. También sirve un desayuno cada mañana de 07:00 a 11:00.

El Lleó alberga una zona de salón y un bar que prepara bebidas.

El Hotel Lleó está a poca distancia a pie de muchos lugares de interés de Barcelona. Se halla a 1 minuto a pie de las Ramblas y a 100 metros de la estación de metro más cercana, que comunica con la Casa Batlló y la Sagrada Familia de Gaudí en 10 minutos."
8,Catalonia Barcelona 505,"8,1",€ 370,https://www.booking.com/hotel/es/catalonia-barcelona-505.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9059305_194589362_0_2_0&highlighted_blocks=9059305_194589362_0_2_0&matching_block_id=9059305_194589362_0_2_0&sr_pri_blocks=9059305_194589362_0_2_0__36960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"El Catalonia Barcelona 505 se encuentra en la zona Sant Gervasi de Barcelona y dispone de piscina exterior y de habitaciones amplias con WiFi gratuita. El centro está a 15 minutos de la estación de tren de El Putxet, situada a 400 metros.

El hotel está cerca de centros médicos importantes, como Dexeus, Barraquer y las clínicas Teknon y Sant Jordi, y está al lado del Tranvía Azul, con destino al teleférico del Tibidabo.

Las habitaciones tienen aire acondicionado, caja fuerte, minibar y TV vía satélite. Hay escritorio y baño privado con secador de pelo y artículos de aseo.

El restaurante C50&5 elabora cocina internacional, y hay bar y servicio de habitaciones.

La recepción está abierta las 24 horas y ofrece servicio de alquiler de coche. Desde el hotel es fácil llegar a la autopista B20, y el aparcamiento de las instalaciones está disponible por un suplemento."
9,Catalonia Albeniz,"8,6",€ 377,https://www.booking.com/hotel/es/cataloniaalbeniz.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9059005_194594649_0_2_0&highlighted_blocks=9059005_194594649_0_2_0&matching_block_id=9059005_194594649_0_2_0&sr_pri_blocks=9059005_194594649_0_2_0__37652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3,"El Catalonia Albeniz ofrece habitaciones amplias con aire acondicionado, WiFi gratuita y TV vía satélite. El establecimiento se encuentra a 150 metros de la estación de tren de Clot y a 15 minutos a pie de la Sagrada Familia de Gaudí.

El alojamiento cuenta con gimnasio y piscina al aire libre. El Albeniz también ofrece consigna de equipaje.

El Catalonia Albeniz sirve un desayuno buffet variado que incluye platos típicos de la zona, como tortilla de patata y pan con tomate.

Las habitaciones del Albeniz son luminosas, presentan una decoración sencilla en estilo moderno y cuentan con suelo de madera. Todas las habitaciones incluyen minibar, caja fuerte y baño de mármol con secador de pelo.

El Catalonia Albeniz se halla a solo 700 metros de las tiendas y restaurantes del centro comercial Glòries y a 5 minutos a pie del mercadillo de Els Encants. El alojamiento está situado a poca distancia a pie de la estación del Clot, que proporciona conexiones en metro y servicio de tren directo al aeropuerto. Todas las habitaciones del hotel tienen Smart TV con aplicación Chromecast."
10,Pensión 45,"6,3",€ 217,https://www.booking.com/hotel/es/pension-45.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=1240802_190208126_0_0_0&highlighted_blocks=1240802_190208126_0_0_0&matching_block_id=1240802_190208126_0_0_0&sr_pri_blocks=1240802_190208126_0_0_0__21652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,1,"Ubicada en un edificio de gran interés artístico, construido a principios del siglo XIX, conservando parte de su decoración original ofrece una alojamiento sencillo con un trato cálido y familiar.

Un establecimiento tranquilo y confortable con una perfecta ubicación para perderse por la parte del casco antiguo y muy bien comunicada con transporte público para moverse por otras zonas o alrededores de la ciudad. La estación de Renfe está a escasos metros. Ideal para los que quieren conocer el corazón de Barcelona y beneficiarse al máximo de su ambiente de ocio, comercial y cultural. A escasos metros del MACBA, Las Ramblas, Plaça Catalunya y la Universidad Central."
11,Zenit Barcelona,"8,2",€ 430,https://www.booking.com/hotel/es/zenitbarna.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArDJ-a0GwAIB0gIkNGVkMzg4NjMtZmJmYy00ZTVhLTlmZWMtZDRmYTkwZmUxNTYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=3e5c71e77598027f&srepoch=1706977534&all_sr_blocks=9009902_253533163_2_42_0&highlighted_blocks=9009902_253533163_2_42_0&matching_block_id=9009902_253533163_2_42_0&sr_pri_blocks=9009902_253533163_2_42_0__42960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"El Zenit Barcelona está situado en Barcelona, a 250 metros de la plaza Francesc Macià de la avenida Diagonal. Este hotel moderno ofrece habitaciones elegantes e insonorizadas con aire acondicionado, WiFi gratuita y carta de almohadas.

El Zenit está a 15 minutos a pie del paseo de Gracia, donde se encuentran La Pedrera y la Casa Batlló de Gaudí. La plaza de Cataluña y Las Ramblas están a otros 15 minutos a pie.

Las habitaciones del Zenit Barcelona están equipadas con TV vía satélite, caja fuerte, minibar, escritorio, hervidor de agua con set de té y café gratuito y baño privado con secador de pelo.

El restaurante del Zenit Hotel elabora platos gourmet españoles e internacionales y sirve un desayuno especial sin gluten y menús para niños. Además, prepara almuerzos para llevar y presta servicio de habitaciones bajo petición.

El establecimiento dispone de recepción 24 horas, mostrador de información turística y servicio de lavandería, planchado y limpieza en seco. Hay un aparcamiento de pago a 10 minutos a pie."
